temperature_mean,humidity_mean,light_mean,co2_mean,tvoc_mean,pressure_mean,air_temperature_mean,is_work,total_energy
28.830000000000002,60.375,0.0,418.25,1.04,999.75,29.8,0,6481.31
28.830000000000002,60.375,0.0,418.25,1.0425,999.75,29.8,0,6481.865
28.82,60.375,0.0,418.25,1.0375,999.8,29.8,0,6482.42
28.830000000000002,60.375,0.0,418.25,1.0475,999.825,29.65,0,6482.975
28.82,60.5,0.0,418.25,1.0425,999.8000000000001,29.5,0,6483.53
28.839999999999996,60.5,0.0,418.25,1.0474999999999999,999.8,29.4,0,6484.0824999999995
28.839999999999996,60.5,0.0,418.25,1.05,999.8,29.3,0,6484.635
28.82,60.625,0.0,418.5,1.0525,999.825,29.4,0,6485.1875
28.810000000000002,60.625,0.0,418.0,1.05,999.85,29.5,0,6485.74
28.830000000000002,60.75,0.0,418.0,1.05,999.975,29.6,0,6486.293333333333
28.839999999999996,61.0,0.0,418.0,1.0525,999.95,29.7,0,6486.846666666666
28.82,61.0,0.0,418.0,1.05,999.975,29.45,0,6487.4
28.839999999999996,61.0,0.0,418.0,1.0525,1000.025,29.2,0,6487.953333333333
28.830000000000002,61.0625,0.0,418.25,1.05125,1000.125,29.45,0,6488.506666666666
28.82,61.15625,0.0,418.25,1.055,1000.1624999999999,29.7,0,6489.0599999999995
28.839999999999996,61.125,0.0,418.0,1.05125,1000.2,29.65,0,6489.613333333334
28.82,61.1875,0.0,417.6875,1.05,1000.2,29.6,0,6490.166666666667
28.82,61.375,0.0,417.375,1.05125,1000.2750000000001,29.700000000000003,0,6490.72
28.919999999999995,61.375,0.0,417.375,1.055,1000.2375,29.8,0,6491.2733333333335
29.0,61.375,0.0,417.375,1.0612500000000002,1000.2750000000001,30.1,0,6491.826666666667
29.04,61.375,0.0,417.4375,1.060625,1000.325,30.4,0,6492.38
29.089999999999996,61.375,0.125,417.5,1.0625,1000.325,30.7,0,6492.845
29.089999999999996,61.3125,0.125,417.375,1.06,1000.3312500000001,31.0,0,6493.31
29.139999999999997,61.25,0.125,417.0,1.065,1000.3375,31.45,0,6493.775000000001
29.149999999999995,61.25,0.125,417.0625,1.07375,1000.34375,31.9,0,6494.240000000001
29.209999999999997,61.25,0.25,416.875,1.075,1000.4,32.45,0,6494.72
29.199999999999996,61.25,0.25,416.8125,1.0725,1000.3875,33.0,0,6495.200000000001
29.35,61.375,0.25,416.75,1.075,1000.4,33.15,0,6495.68
29.4,61.375,0.375,416.75,1.0837500000000002,1000.4625000000001,33.3,0,6496.160000000001
29.380000000000003,61.5,0.375,417.0,1.085,1000.475,33.55,0,6496.64
29.439999999999998,61.625,0.875,417.125,1.0879166666666666,1000.4541666666667,33.8,0,6497.1033333333335
29.55,61.75,0.375,417.25,1.0883333333333334,1000.5333333333333,34.15,0,6497.5666666666675
29.639999999999997,61.75,0.5,417.25,1.0941666666666667,1000.5666666666666,34.5,0,6498.030000000001
29.639999999999997,61.75,0.375,417.25,1.09625,1000.5625,34.15,0,6498.600000000001
29.77,61.75,0.375,417.5,1.0925,1000.675,33.8,0,6499.257142857144
29.8,61.75,0.375,418.0,1.1025,1000.7249999999999,34.2,0,6499.914285714287
29.830000000000002,61.9375,0.375,417.5,1.1031250000000001,1000.8,34.6,0,6500.571428571429
30.05,62.0,0.375,417.75,1.10625,1000.75,34.650000000000006,0,6501.228571428573
30.130000000000003,62.0,0.375,417.75,1.11,1000.7249999999999,34.7,0,6501.885714285715
30.130000000000003,62.0,0.375,418.0,1.1075,1000.825,34.55,0,6502.542857142858
30.27,62.0,0.375,418.0,1.108125,1000.85,34.4,0,6503.200000000001
30.27,62.0,0.375,418.25,1.11375,1000.85,34.849999999999994,0,6503.870000000001
30.330000000000002,62.0,0.375,418.5,1.1125,1000.85,35.3,0,6504.553333333334
30.330000000000002,62.125,0.375,418.75,1.1125,1000.9,35.5,0,6505.236666666668
30.459999999999997,62.375,0.25,418.5,1.11375,1000.85,35.7,0,6505.920000000001
30.459999999999997,62.25,0.125,419.0,1.1125,1000.85,35.55,0,6506.965000000001
30.4,62.125,0.625,419.75,1.1175,1000.875,35.4,0,6508.010000000001
29.95,61.875,0.625,419.75,1.1175,1000.85,35.75,0,6509.055000000001
29.95,61.625,0.625,420.5,1.12,1000.85,36.1,0,6510.100000000001
29.749999999999993,61.0,0.625,420.5,1.1125,1000.85,35.6,0,6511.297500000001
29.95,61.5,0.375,421.25,1.11,1000.85,35.1,0,6512.495000000001
30.21,61.75,0.375,423.0,1.1125,1000.8,35.35,0,6513.692500000001
30.209999999999997,61.875,0.375,424.0,1.115,1000.7249999999999,35.6,0,6514.89
30.309999999999995,61.875,0.875,425.25,1.115,1000.675,35.85,0,6515.900000000001
30.339999999999996,61.625,0.875,426.75,1.115,1000.6499999999999,36.1,0,6516.91
30.149999999999995,61.375,0.875,428.25,1.1125,1000.6499999999999,36.55,0,6517.93
30.15,61.0,1.375,429.5,1.1125,1000.625,37.0,0,6519.16
29.379999999999995,60.375,1.375,430.25,1.1075000000000002,1000.6499999999999,36.7,0,6520.39
28.919999999999998,59.6875,1.375,431.0,1.0975000000000001,1000.6,36.4,0,6522.29
28.809999999999995,59.125,1.25,431.5,1.0825,1000.625,36.05,0,6524.235
28.629999999999995,58.875,0.875,433.0,1.0575,1000.5749999999999,35.7,0,6526.179999999999
27.839999999999996,58.625,0.875,434.75,1.04,1000.625,35.95,0,6528.314999999999
27.509999999999998,58.125,0.875,436.0,1.025,1000.525,36.2,0,6530.449999999999
27.209999999999997,57.625,0.875,437.25,1.0125,1000.5,36.55,0,6532.239999999999
26.740000000000002,57.625,0.875,438.5,1.005,1000.475,36.9,0,6534.03
27.32,58.375,1.0,439.5,1.0,1000.5,36.15,0,6535.82
26.909999999999997,58.5,1.0,440.0,1.0,1000.5,35.4,0,6537.423333333333
26.809999999999995,58.375,1.0,441.0,1.0,1000.5,35.05,0,6539.026666666666
26.880000000000003,58.4375,0.8125,442.0,1.0,1000.475,34.7,0,6540.629999999999
27.79,58.5,0.125,442.75,1.0,1000.475,34.400000000000006,0,6542.1342857142845
28.23,58.5,0.125,444.0,1.0,1000.45,34.1,0,6543.638571428571
28.449999999999996,58.25,0.125,444.25,1.0,1000.35,34.45,0,6545.142857142856
28.589999999999996,58.375,0.125,445.0,1.0,1000.35,34.8,0,6546.647142857142
28.75,58.541666666666664,0.125,445.5,1.0,1000.3166666666666,34.7,0,6548.1514285714275
28.869999999999997,58.958333333333336,0.125,445.5,1.0,1000.3333333333334,34.6,0,6549.655714285714
28.99,59.125,0.125,445.25,1.0,1000.325,34.25,0,6551.159999999999
29.059999999999995,59.125,0.0,445.0,1.0,1000.2249999999999,33.9,0,6552.239999999999
29.059999999999995,59.375,0.0,445.5,1.0,1000.175,34.5,0,6553.32
29.1,59.5625,0.0,445.125,1.0,1000.1499999999999,35.1,0,6554.4
