temperature_mean,humidity_mean,light_mean,co2_mean,tvoc_mean,pressure_mean,air_temperature_mean,is_work,total_energy
24.355555555555554,68.75,0.75,503.5,1.0,999.05,30.450000000000003,1,7812.46
24.133333333333336,68.0,0.75,504.0,1.0,998.95,30.6,1,7814.805
23.922222222222224,67.25,0.5,504.0,1.0,998.85,30.6,1,7817.150000000001
23.855555555555558,66.75,0.5,504.5,1.0,998.8,30.6,1,7819.67
23.56666666666667,66.0,0.75,505.5,1.0,998.8,30.6,1,7822.41
23.28888888888889,65.5,0.75,506.0,1.0,998.75,30.6,1,7824.47
23.144444444444446,64.5,0.75,506.0,1.0,998.65,30.85,1,7827.17
23.11111111111111,64.25,0.75,505.5,1.0,998.55,31.1,1,7829.87
23.34444444444445,63.5,3.5,505.5,1.0,998.55,30.950000000000003,1,7832.59
23.37777777777778,63.75,3.5,505.5,1.0,998.55,30.8,1,7835.93
21.766666666666666,63.75,3.5,506.5,1.0,998.5,30.35,1,7838.409999999999
22.41111111111111,63.0,3.5,507.0,1.0,998.45,29.9,1,7841.78
22.7,64.0,3.5,507.0,1.0,998.5,30.049999999999997,1,7844.1900000000005
22.544444444444444,64.75,3.5,508.0,1.0,998.45,30.2,1,7846.200000000001
22.422222222222224,63.75,3.5,510.0,1.0,998.4000000000001,30.1,1,7848.76
22.355555555555554,63.25,3.5,512.5,1.0,998.35,30.0,1,7851.32
22.355555555555558,62.5,3.5,516.0,1.0,998.25,30.75,1,7853.63
22.3,62.25,3.5,520.5,1.0,998.0999999999999,31.5,1,7856.01
22.066666666666666,61.75,3.5,528.0,1.0,997.95,31.1,1,7858.799999999999
22.066666666666663,61.5,3.5,532.5,1.0,997.85,30.7,1,7861.999999999999
22.066666666666666,61.75,3.5,540.5,1.0,997.9000000000001,30.45,1,7865.200000000001
21.93333333333333,61.5,3.5,544.5,1.0,997.85,30.2,1,7868.0599999999995
21.711111111111112,61.5,3.5,556.0,1.0,997.8,30.0,1,7870.87
